Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-13 04:00:00-05:00,415.93,415.93,414.37,414.42,0,0.0,0.0
2025-01-13 05:00:00-05:00,414.39,415.89,413.6,415.59,0,0.0,0.0
2025-01-13 06:00:00-05:00,415.81,415.85,415.25,415.62,0,0.0,0.0
2025-01-13 07:00:00-05:00,415.62,416.89,415.12,416.47,0,0.0,0.0
2025-01-13 08:00:00-05:00,416.36,418.95,413.5945,416.435,0,0.0,0.0
2025-01-13 09:00:00-05:00,416.435,421.535,414.6703,415.25,0,0.0,0.0
2025-01-13 09:30:00-05:00,415.2300109863281,418.5,413.8299865722656,414.3349914550781,3258647,0.0,0.0
2025-01-13 10:30:00-05:00,414.3349914550781,416.0799865722656,413.3009948730469,413.5,2711722,0.0,0.0
2025-01-13 11:30:00-05:00,413.44000244140625,414.6293029785156,412.3399963378906,414.2250061035156,1453157,0.0,0.0
2025-01-13 12:30:00-05:00,414.2250061035156,415.70001220703125,413.8599853515625,415.0,966229,0.0,0.0
2025-01-13 13:30:00-05:00,415.0849914550781,416.0899963378906,414.07000732421875,416.07000732421875,1146873,0.0,0.0
2025-01-13 14:30:00-05:00,416.0299987792969,417.04998779296875,415.7900085449219,416.1199951171875,1323544,0.0,0.0
2025-01-13 15:30:00-05:00,416.1600036621094,417.6300048828125,415.9599914550781,417.2300109863281,1477778,0.0,0.0
2025-01-13 16:00:00-05:00,417.16,418.0,416.46,417.465,0,0.0,0.0
2025-01-13 17:00:00-05:00,417.6,443.3769,392.2682,417.88,0,0.0,0.0
2025-01-13 18:00:00-05:00,417.88,418.99,417.71,418.35,0,0.0,0.0
